tconst,director,id,popularity
tt7153766,Steven Soderbergh,467660,9.573
tt7772580,Richard Shepard,529962,3.223
tt2231461,Brad Peyton,427641,1.803
tt2231461,Brad Peyton,427641,1.803
tt8781414,Zach Lipovsky,539892,1.893
tt8781414,Adam B. Stein,539892,1.283
tt8359848,Gaspar Noé,507076,6.147
tt2543472,Stephen Chbosky,406997,3.797
tt2568862,Zach Braff,353070,10.783
tt2568862,Zach Braff,353070,10.783
tt3986820,Justin Benson,430231,0.001
tt3986820,Aaron Moorhead,430231,1.991
tt3986820,Justin Benson,430231,0.001
tt3986820,Aaron Moorhead,430231,1.991
tt3262342,DK Welchman,339877,1.532
tt3262342,Hugh Welchman,339877,1.401
tt2527336,Rian Johnson,181808,6.055
tt6294822,Steven Spielberg,446354,32.198
tt6265828,David Lowery,428449,5.529
tt6265828,David Lowery,428449,5.529
tt3860916,Ben Howling,425972,0.564
tt3860916,Yolanda Ramke,425972,1.15
tt6053438,Paul Schrader,458737,6.24
tt6053438,Paul Schrader,458737,6.24
tt3922818,Peter Chelsom,365942,3.941
tt3896198,James Gunn,283995,13.995
tt3896198,James Gunn,283995,13.995
tt2396589,Dee Rees,414425,1.33
tt2396589,Dee Rees,414425,1.33
tt2406566,David Leitch,341013,8.142
tt1485796,Michael Gracey,316029,5.635
tt6738136,Coralie Fargeat,467938,27.746
tt5742374,Lynne Ramsay,398181,1.268
tt5776858,Paul Thomas Anderson,400617,6.822
tt5776858,Paul Thomas Anderson,400617,6.822
tt5715874,Yorgos Lanthimos,399057,16.767
tt5710514,Macon Blair,425591,5.705
tt5726616,Luca Guadagnino,398818,9.45
tt5580390,Guillermo del Toro,399055,18.001
tt2771200,Bill Condon,321612,4.247
tt2771200,Bill Condon,321612,4.247
tt2763304,Danny Boyle,180863,12.337
tt5649108,Cory Finley,397722,2.047
tt5657856,S. Craig Zahler,398175,0.784
tt5657856,S. Craig Zahler,398175,0.784
tt6108178,Sebastián Lelio,419743,1.441
tt6214928,Zak Hilditch,452507,0.679
tt1691916,Ry Russo-Young,397837,0.694
tt6000478,Dan Gilroy,413362,3.412
tt3564472,Malcolm D. Lee,417870,2.273
tt2283362,Jake Kasdan,353486,5.961
